# started on Thu Mar 14 03:46:42 2019

     1.232253602,148288592,,cycles,2026314513,100.00,,
     1.232253602,5034257,,r8188,2025448505,100.00,,
     1.232253602,77191,,r4189,2023662109,100.00,,
     1.232253602,37221986,,L1-dcache-loads,2021482063,100.00,,
     1.232253602,5546247,,l1d.replacement,2018829845,100.00,,
     1.332997913,166140823,,cycles,2022342799,100.00,,
     1.332997913,5249169,,r8188,2020702549,100.00,,
     1.332997913,47041,,r4189,2019626407,100.00,,
     1.332997913,40125394,,L1-dcache-loads,2018397117,100.00,,
     1.332997913,7250659,,l1d.replacement,2016923076,100.00,,
     1.433765084,157249850,,cycles,2019828153,100.00,,
     1.433765084,7778561,,r8188,2018775618,100.00,,
     1.433765084,47938,,r4189,2018063918,100.00,,
     1.433765084,42855096,,L1-dcache-loads,2017241003,100.00,,
     1.433765084,7683308,,l1d.replacement,2016412269,100.00,,
     1.534479172,223062269,,cycles,2018584322,100.00,,
     1.534479172,11124470,,r8188,2017758629,100.00,,
     1.534479172,79278,,r4189,2017218674,100.00,,
     1.534479172,67092602,,L1-dcache-loads,2016594584,100.00,,
     1.534479172,5735263,,l1d.replacement,2015873916,100.00,,
     1.635260331,170672273,,cycles,2018027448,100.00,,
     1.635260331,6073955,,r8188,2017373379,100.00,,
     1.635260331,44780,,r4189,2016940297,100.00,,
     1.635260331,53326222,,L1-dcache-loads,2016441738,100.00,,
     1.635260331,6253872,,l1d.replacement,2015849832,100.00,,
     1.736023563,143822787,,cycles,2017479117,100.00,,
     1.736023563,5461571,,r8188,2016946530,100.00,,
     1.736023563,46623,,r4189,2016585803,100.00,,
     1.736023563,45193294,,L1-dcache-loads,2016187363,100.00,,
     1.736023563,6756851,,l1d.replacement,2015756575,100.00,,
     1.836778544,156799533,,cycles,2017221663,100.00,,
     1.836778544,5631680,,r8188,2016760405,100.00,,
     1.836778544,48215,,r4189,2016451144,100.00,,
     1.836778544,47089658,,L1-dcache-loads,2016095886,100.00,,
     1.836778544,8686265,,l1d.replacement,2015672293,100.00,,
     1.937493839,154150848,,cycles,2016851454,100.00,,
     1.937493839,5782011,,r8188,2016453829,100.00,,
     1.937493839,37815,,r4189,2016184823,100.00,,
     1.937493839,45962232,,L1-dcache-loads,2015873937,100.00,,
     1.937493839,7839211,,l1d.replacement,2015505307,100.00,,
     2.038223426,149384481,,cycles,2016610545,100.00,,
     2.038223426,5950593,,r8188,2016250760,100.00,,
     2.038223426,38972,,r4189,2016011760,100.00,,
     2.038223426,44141105,,L1-dcache-loads,2015736409,100.00,,
     2.038223426,7099391,,l1d.replacement,2015408985,100.00,,
     2.138944788,163920672,,cycles,2016335113,100.00,,
     2.138944788,8074946,,r8188,2015966778,100.00,,
     2.138944788,38912,,r4189,2015755095,100.00,,
     2.138944788,48247381,,L1-dcache-loads,2015606188,100.00,,
