# started on Wed Mar 13 23:11:22 2019

     1.197557877,25662364,,cycles,2085729420,100.00,,
     1.197557877,767183,,r8188,2081895766,100.00,,
     1.197557877,17521,,r4189,2076533430,100.00,,
     1.197557877,2622918,,L1-dcache-loads,2071913095,100.00,,
     1.197557877,184509,,l1d.replacement,2066369312,100.00,,
     1.300823366,20952018,,cycles,2075607951,100.00,,
     1.300823366,583776,,r8188,2073459198,100.00,,
     1.300823366,15600,,r4189,2070754453,100.00,,
     1.300823366,2028860,,L1-dcache-loads,2068474126,100.00,,
     1.300823366,157335,,l1d.replacement,2065823215,100.00,,
     1.403961725,21229260,,cycles,2071672191,100.00,,
     1.403961725,550914,,r8188,2070009326,100.00,,
     1.403961725,15112,,r4189,2068131448,100.00,,
     1.403961725,2050929,,L1-dcache-loads,2066599558,100.00,,
     1.403961725,161837,,l1d.replacement,2064836172,100.00,,
     1.506285460,31932998,,cycles,2069545690,100.00,,
     1.506285460,761638,,r8188,2068402671,100.00,,
     1.506285460,26089,,r4189,2066927497,100.00,,
     1.506285460,3041045,,L1-dcache-loads,2065263929,100.00,,
     1.506285460,332367,,l1d.replacement,2061496209,100.00,,
     1.609066729,23324711,,cycles,2064975450,100.00,,
     1.609066729,611415,,r8188,2064114101,100.00,,
     1.609066729,21827,,r4189,2063037008,100.00,,
     1.609066729,2594230,,L1-dcache-loads,2062132143,100.00,,
     1.609066729,192338,,l1d.replacement,2060301066,100.00,,
     1.710657056,32308182,,cycles,2063336402,100.00,,
     1.710657056,744305,,r8188,2062510983,100.00,,
     1.710657056,27273,,r4189,2060752737,100.00,,
     1.710657056,2944075,,L1-dcache-loads,2058253756,100.00,,
     1.710657056,303437,,l1d.replacement,2055600791,100.00,,
     1.813038538,17132040,,cycles,2058917477,100.00,,
     1.813038538,416290,,r8188,2058238231,100.00,,
     1.813038538,14803,,r4189,2057428431,100.00,,
     1.813038538,1885488,,L1-dcache-loads,2056518643,100.00,,
     1.813038538,173685,,l1d.replacement,2054468267,100.00,,
     1.915207516,21871325,,cycles,2057521443,100.00,,
     1.915207516,494984,,r8188,2057018498,100.00,,
     1.915207516,18310,,r4189,2056346003,100.00,,
     1.915207516,2055795,,L1-dcache-loads,2055073456,100.00,,
