# started on Thu Jun 14 14:50:10 2018

     4.190455875,5424884018,,r11,5000427375,100.00,,,,
     4.190455875,18820928,,r10,5000409625,100.00,,,,
     4.190455875,423703754,,r12,5000373750,100.00,,,,
     4.190455875,19203798,,r42,5000359250,100.00,,,,
     4.190455875,1103382,,r48,5000342875,100.00,,,,
     4.190455875,849430252,,r72,5000323875,100.00,,,,
     6.692389875,5414384877,,r11,5002148625,100.00,,,,
     6.692389875,18408037,,r10,5002138687,100.00,,,,
     6.692389875,461315369,,r12,5002120812,100.00,,,,
     6.692389875,18734686,,r42,5002113562,100.00,,,,
     6.692389875,1168668,,r48,5002105562,100.00,,,,
     6.692389875,875516133,,r72,5002095875,100.00,,,,
     9.192759000,5444051994,,r11,5001603333,100.00,,,,
     9.192759000,18593663,,r10,5001598333,100.00,,,,
     9.192759000,459951130,,r12,5001628083,100.00,,,,
     9.192759000,19006236,,r42,5001654250,100.00,,,,
     9.192759000,1151310,,r48,5001649041,100.00,,,,
     9.192759000,879316090,,r72,5001643166,100.00,,,,
    11.692992875,4275878686,,r11,5001371062,100.00,,,,
    11.692992875,20846921,,r10,5001366687,100.00,,,,
    11.692992875,452466135,,r12,5001358750,100.00,,,,
    11.692992875,20878412,,r42,5001355968,100.00,,,,
    11.692992875,1418493,,r48,5001352875,100.00,,,,
    11.692992875,810187675,,r72,5001349218,100.00,,,,
    14.194796625,3565736018,,r11,5001815650,100.00,,,,
    14.194796625,22273886,,r10,5001814750,100.00,,,,
    14.194796625,446360913,,r12,5001808350,100.00,,,,
    14.194796625,22672258,,r42,5001806200,100.00,,,,
    14.194796625,1641757,,r48,5001803650,100.00,,,,
    14.194796625,756522384,,r72,5001800525,100.00,,,,
    16.695545375,3594876031,,r11,5001609270,100.00,,,,
    16.695545375,22032611,,r10,5001658166,100.00,,,,
    16.695545375,465781233,,r12,5001704979,100.00,,,,
    16.695545375,22756671,,r42,5001753791,100.00,,,,
    16.695545375,1670734,,r48,5001752145,100.00,,,,
    16.695545375,778970715,,r72,5001749875,100.00,,,,
    19.195884875,3717685448,,r11,5001592839,100.00,,,,
    19.195884875,22709751,,r10,5001591982,100.00,,,,
    19.195884875,476911122,,r12,5001587553,100.00,,,,
