attack,r10,r12,r42,r48,r72
0,0.002580459354270268,0.15670231526069275,0.004329564593967428,0.00038360646093984547,0.28949838975772324
0,0.002233020993270272,0.15060739945220133,0.003998392825098136,0.0003259112391808885,0.27668523623190894
0,0.0020565708511311623,0.14754190197759173,0.003795239215753346,0.00032728332148889604,0.269679426906875
0,0.0020231648934007206,0.1475216220103384,0.0038053703438556876,0.0003028908482175043,0.26905180744392443
0,0.0020061725744783504,0.14962752126541506,0.0036232926745466505,0.0002842846265020206,0.2733596311888367
0,0.0019484912062197257,0.14730611177584643,0.003557857425086106,0.00027708399880944316,0.268034006095757
0,0.0018983336727675835,0.14344593288933433,0.003665425579470705,0.00027954154933310273,0.2608208486155578
0,0.0019475162980241072,0.14736556217075478,0.0036915196062793755,0.0002573433664618012,0.2680579899353757
0,0.00196992451907559,0.15018099632226586,0.0035737651089851152,0.0002526647194345104,0.27241136927097553
0,0.0019430430948151464,0.15050081683321578,0.0035451659410372922,0.00026085919326969425,0.2711195728193901
0,0.0019035702429207946,0.1495732287181635,0.0035407247688061753,0.0002792170774661965,0.27084353312294207
0,0.0018980453466035472,0.14879528851559723,0.0034379698242618566,0.00027079617411138955,0.2685160967835457
0,0.001887686401022938,0.146439434749405,0.0034303379276302815,0.00023980424399469853,0.2650188850801579
0,0.0018589583390275276,0.14505794289175852,0.003571258810919166,0.0002549319212677545,0.26311140502650104
0,0.0018300987746583323,0.14530815779452205,0.00362610577032032,0.00026118806442283196,0.2616956257923108
0,0.0019152286423004777,0.14775256254973282,0.0038350410230717402,0.00024700636690656543,0.2651488547730447
0,0.0019400730473919216,0.15110167024717863,0.003633639259355104,0.0002742522927545639,0.2730216797231873
0,0.0019120012679738204,0.1485427986643345,0.0035548393772545364,0.0002702124224855235,0.2691024256395077
0,0.001937674300533563,0.14818666693120147,0.0035572877981802442,0.0003017043601952539,0.2676405820115706
0,0.0018881207750220813,0.14849275141975324,0.003476668476669593,0.00025787086277412997,0.2676787597182808
0,0.0019454606916575728,0.14897521870919575,0.0035198480464894424,0.00023985261058751824,0.2680719633577727
0,0.0018993854154603846,0.14809113398720114,0.003476957604164339,0.00022525031086429497,0.26575878674914744
0,0.0018339815987339686,0.14391050036108383,0.003474334337621853,0.00023989540985661187,0.2600518344252994
0,0.0018844372923164637,0.1460642584361563,0.00354164177811126,0.0002510149258195276,0.2633895360851162
0,0.0019414766611804877,0.14784277794329917,0.003551268843718267,0.00024539102894060883,0.26536044359381344
0,0.0018923670498123663,0.1476783555028359,0.003631731686947957,0.000247307755911027,0.2651308526771342
0,0.0018450493068313237,0.14330922610617433,0.004030421516317979,0.00023034641826867453,0.2615662957140468
0,0.0020058942431567537,0.15247479292600266,0.0036397403492205126,0.0002622134230264983,0.272724337155345
0,0.0019305329934773351,0.15116093836615008,0.003702798603273372,0.00026693471768895094,0.2730007350086476
0,0.001958840284347684,0.15204998034110756,0.0036028258915938075,0.0002479635704141246,0.27043302426554655
0,0.0018961657677473598,0.14899022982277146,0.0036903274454747888,0.0002527011558580983,0.27279462315170755
0,0.0019632956462014304,0.1518056842313221,0.0035411610400161815,0.0002605214244278591,0.270832753818509
0,0.0019307835649025574,0.15023883889665618,0.0035101098199972246,0.00027647798470870896,0.26881532648901885
0,0.001908995100556492,0.1504854182237535,0.0034694632834774966,0.0002510908911315975,0.27150996726739157
0,0.0019334612625578704,0.14926312776120804,0.003564733082977187,0.00025678617292396855,0.2704496141768389
0,0.0018879963778806704,0.1492384710547534,0.003463508089699041,0.00024694387895566065,0.26938440035014943
0,0.0020391377451872235,0.1523929521531009,0.0035250304395221237,0.000260553409584949,0.2711710537275548
0,0.0017844071917358115,0.14211873027444616,0.0036648946014827153,0.0002586357323343939,0.26055319373697644
0,0.0019322144140685466,0.15008592930307144,0.0034727174566953466,0.00022514945953860363,0.26761465534608714
0,0.0019061464556794645,0.1472336180785422,0.0035819821290031845,0.0002629114940625666,0.26373946706832485
0,0.001875238891021618,0.14674605596260626,0.0036530026719151063,0.00025687979683394643,0.2649886005839557
0,0.0019613844545239047,0.14966908468560874,0.003468150441557503,0.00026910676673868114,0.26658530881158826
0,0.0018121761280994444,0.1413379807201041,0.003703544147734206,0.0002439978170761023,0.2598546464388238
0,0.0019193688193216752,0.1483980065030303,0.0034923248329285887,0.0002599027143448856,0.2649281430123147
0,0.0017878298697693988,0.1456989699151303,0.0034765543655367365,0.00024222357621546376,0.26115670839572463
0,0.0018730422357005519,0.14682804517043718,0.0036579736414714997,0.00023538099661983574,0.26480581631951716
0,0.0019337435031728685,0.1497352051655096,0.00356858638375968,0.0002586709899209743,0.2669104496811673
0,0.0017389946644835277,0.1401476298853078,0.003878461545517962,0.00023980662454937255,0.2578807448382251
0,0.0019589445191562234,0.15161111589213705,0.0036953415201642025,0.00023790892090570437,0.2711998613528159
0,0.002053549025345414,0.15459101295033098,0.0035868367285543912,0.00026322634963474447,0.2721938848682338
0,0.00192094500824705,0.1492939383876067,0.003663881296213547,0.000274574888530428,0.27180899740884595
0,0.0018952055725643758,0.1498613405127988,0.0038014899429927324,0.00026851962458236624,0.2753506175958544
0,0.0019696962930472396,0.15256227009355117,0.0035512467779503978,0.00028117517425216895,0.27042212496551016
0,0.00198205602076399,0.15318136964622062,0.003652172211977113,0.00026653594645080443,0.27558695588731325
0,0.001967797963382112,0.15265793468175912,0.003424326705543388,0.00026960914808312137,0.2689106952071822
0,0.0018595168228161699,0.14806534909907984,0.003444391281179867,0.00024499306418225526,0.2695009750209694
0,0.0019164444147559186,0.15039999269043258,0.0037880600791271543,0.0002643089300286543,0.2763039004974462
0,0.0019647540610783004,0.15251174082680136,0.003537747209854866,0.00029037641845952,0.2701919500375165
0,0.001999390869853868,0.1521418296466847,0.003582254147542469,0.00025795491491855505,0.2740518300759259
0,0.001897439593387223,0.15008477277231688,0.0034729452454432003,0.000272248755618216,0.26865842519447736
0,0.0018823067002757534,0.14974639727802483,0.0037107993537740156,0.0002590398615537678,0.2779551777219654
0,0.0019716751764790653,0.15328582620513012,0.00363204315446889,0.0002572505023810622,0.27344638404104726
0,0.0019787432743146554,0.15282596489855158,0.003548293787645476,0.00025874584866363996,0.2748418568789774
0,0.0020244477824676445,0.1529093071053658,0.0034745056097089146,0.0002629604082371828,0.26971188048199046
0,0.001909221026554562,0.14776540190145862,0.0036309944747326133,0.00025914323071470974,0.2687558677623389
0,0.0018572299830508067,0.1460191659779256,0.003667586627753782,0.00025412621144564097,0.26822667732574235
0,0.0019751404227705584,0.1512568211347974,0.003539527015390321,0.00027269778678976254,0.2681953446504229
0,0.0019824624966760865,0.15014462062077236,0.003651346186581041,0.00025700558813611455,0.2705844822808557
0,0.001977108316342604,0.15123323265345762,0.003506800921506015,0.0002748782444745394,0.26672345086833427
0,0.001878618617747272,0.14505806574556873,0.003563685911898629,0.0002595614284263674,0.26383220952084085
0,0.0018079669135826512,0.14352547845567679,0.003717236488946082,0.0002446906016947916,0.26405295703712234
0,0.0019414131868310343,0.1495229582308657,0.0034571418622153533,0.00027430438127071076,0.2650681866962513
0,0.0019132719529559223,0.1494881000187872,0.00346744839521733,0.0002647091500274646,0.2688009625167623
0,0.001960598710602183,0.15189921480285148,0.00346518799947306,0.0002859387111180264,0.26754044893724516
0,0.0018677950756481035,0.14467807123443077,0.0035690514358956895,0.0002680968758438421,0.2633287164864547
0,0.0017617672352613128,0.14249467315260508,0.003651182487981072,0.00023270871776855123,0.26203355891304275
0,0.0019581513392879523,0.1511262812453008,0.003411956076800507,0.0002755721134962156,0.2677940839316691
0,0.0019172109569428634,0.1485921187243101,0.0035914780653062616,0.00025996334372571395,0.26762377858413966
0,0.0019705674372514624,0.15136215439929107,0.0035326830640187625,0.0002829200987928888,0.2668284585721705
0,0.0018322994035522575,0.14305173498097556,0.0036258741637924083,0.00026106156024651605,0.26058329206291336
0,0.0018016157767334776,0.14236596063385082,0.0038262532212913923,0.0002454674819735698,0.2621446705377057
0,0.0019525548392956673,0.1506854059357816,0.0035327663943687817,0.0002884787180127597,0.26705518228130487
0,0.0018944312273177072,0.1478720663393155,0.0034671543393675498,0.0002658398392383891,0.2660942522365455
0,0.0018444770144983968,0.14602653730805196,0.0035919726768998393,0.0002550839186716795,0.2640619518188855
0,0.0018247854178177938,0.14499752441885302,0.003645989158938604,0.0002580808953070773,0.26392447141886805
0,0.001873536227273458,0.14774459430676137,0.0035515523406905395,0.0002666833897229412,0.2654606037535348
0,0.0019120498531336782,0.14754019762875886,0.003627287107799641,0.00025829061517915083,0.26658501426041564
0,0.001975332614754052,0.15336086474436247,0.0035549565730929665,0.0002568306736148379,0.2714349695762089
0,0.0018354894228210638,0.14236927107280192,0.0037273375887306296,0.00024829421253129354,0.26056805972994906
0,0.001839639458333572,0.14133558533865137,0.003768429422035766,0.0002580228548131239,0.2578145401075803
